Hours,CGS,CGS+THL,CGS+HYD+THL,DEMAND
1,6274.561324,9313.801966,9803.878903,11764.80248
2,6082.668922,9121.909563,9514.069646,11474.87006
3,5890.899686,8930.017161,9322.30041,11577.22089
4,5797.17047,9032.367987,9424.528069,11385.32848
5,5703.441254,9232.758833,9526.878895,11487.67931
6,6099.66581,9531.1897,9825.186596,12080.10707
7,6103.976615,9829.497401,10319.6975,12868.86121
8,6108.28742,9833.808206,10618.12837,13559.32899
9,6112.598225,9837.995845,10524.27599,13269.39657
10,5920.828988,9744.266629,10724.66684,13371.7474
11,5728.936586,9650.537414,10728.97764,13768.21828
12,5831.164246,9654.725053,10635.12526,13576.32588
13,5835.475051,9659.035858,10541.39604,13384.55664
14,5643.705814,9467.143455,10251.46362,13290.82743
15,5647.893453,9373.41424,10255.77443,13589.13513
16,6142.404362,9671.845107,10848.32535,14083.64604
17,6048.55198,9774.072766,10950.55301,14185.8737
18,6150.902806,10072.50363,10954.86382,14092.14448
19,6547.250528,10370.9345,11351.21154,13606.25518
20,6257.564436,10081.00208,11257.48233,14394.76299
21,6163.588889,10085.31288,10967.67307,14202.99375
22,6265.939714,10089.62369,10677.86381,13913.18449
23,6172.210499,9995.771306,10387.93139,13623.25207
24,6078.358117,9902.04209,10196.16215,13137.36277
