Hours,CGS,CGS+THL,CGS+HYD+THL,DEMAND
1,5158.730159,8412.698413,8650.793651,10793.65079
2,4920.634921,8174.603175,8412.698413,10555.55556
3,4841.269841,8095.238095,8412.698413,10555.55556
4,4761.904762,8095.238095,8333.333333,10476.19048
5,5000,8253.968254,8492.063492,10634.92063
6,5476.190476,8730.15873,8968.253968,11349.20635
7,5873.015873,9523.809524,10158.73016,12619.04762
8,6031.746032,9761.904762,11031.74603,13730.15873
9,5873.015873,9761.904762,10634.92063,13650.79365
10,5952.380952,9841.269841,10555.55556,13412.69841
11,6031.746032,9920.634921,10634.92063,13492.06349
12,5952.380952,9920.634921,10634.92063,13650.79365
13,5873.015873,9920.634921,10396.8254,13412.69841
14,5793.650794,9761.904762,10238.09524,13174.60317
15,5952.380952,9920.634921,10317.46032,13650.79365
16,6031.746032,10000,10793.65079,13809.52381
17,6269.84127,10238.09524,10714.28571,13888.88889
18,6111.111111,10158.73016,11269.84127,13968.25397
19,6269.84127,10238.09524,11269.84127,14126.98413
20,6269.84127,10317.46032,10555.55556,13888.88889
21,6428.571429,10396.8254,10238.09524,13333.33333
22,6269.84127,10317.46032,9603.174603,13015.87302
23,6111.111111,9920.634921,,12460.31746
24,6031.746032,9444.444444,,11746.03175
