Series 1: DRAWAL + THL,,,Series 2: DRAWL+THL+HYD,,,,Series 3: DEMAND,
0.019887351,11397.26027,,0.1381793,11468.9019,,,0.113507579,13828.14111
0.384674223,11226.0274,,0.308971981,11353.34733,,,0.30635309,13519.99558
0.668381893,11089.0411,,0.400311682,11353.34733,,,0.420527716,13519.99558
0.992976844,11020.54795,,0.480194815,11343.71778,,,0.625690099,13433.32965
1.276684514,10883.56164,,0.605239436,11208.90411,,,0.956288151,13308.14553
1.560670329,10815.06849,,0.708074808,11228.16321,,,1.378186798,13173.33186
1.804603296,10883.56164,,0.82213212,11199.27456,,,1.743193657,13086.66593
2.007927126,10952.05479,,0.947489579,11141.49728,,,2.051699774,13144.44322
2.210972811,10952.05479,,1.015916145,11122.23818,,,2.154300518,13105.92503
2.414018497,10952.05479,,1.095721068,11093.34954,,,2.291231859,13086.66593
2.657812391,10986.30137,,1.198321812,11054.83134,,,2.405523799,13115.55457
3.144982964,10952.05479,,1.300883451,11006.68361,,,2.49670708,13077.03638
3.348167721,10986.30137,,1.47198897,10968.16541,,,2.633755735,13086.66593
3.592100688,11054.79452,,1.540415536,10948.90632,,,2.850648419,13077.03638
3.835755511,11054.79452,,1.643055385,10920.01768,,,2.942027224,13086.66593
4.246432369,10968.16541,,1.711677474,10948.90632,,,3.090297818,13048.14774
4.578359983,11170.38592,,1.803095384,10968.16541,,,3.192937667,13019.2591
5.01222356,11170.38592,,1.883174041,11006.68361,,,3.284394681,13048.14774
5.561591324,11497.79054,,1.97474837,11064.46089,,,3.432860799,13057.77729
5.720771019,11334.08823,,2.077349114,11025.9427,,,3.558452887,13057.77729
6.007380725,11622.97466,,2.180106277,11025.9427,,,3.775736618,13144.44322
6.407656695,11786.67698,,2.260067619,11035.57225,,,3.946998557,13144.44322
6.646719523,11613.34512,,2.351524634,11064.46089,,,4.323540192,13086.66593
6.876281021,11911.8611,,2.454164483,11035.57225,,,4.529406461,13173.33186
7.208052216,12075.56341,,2.53416493,11054.83134,,,4.689329146,13192.59096
7.505844757,12306.67256,,2.625621945,11083.71999,,,4.826573325,13250.36824
7.847469224,12085.19296,,2.899445522,11035.57225,,,5.145323762,13019.2591
8.120471601,11834.82472,,2.979445969,11054.83134,,,5.271189583,13086.66593
8.40504786,11622.97466,,3.150825222,11083.71999,,,5.442881674,13192.59096
8.783231895,11969.63839,,3.276456415,11093.34954,,,5.557408242,13279.25689
9.102647113,11902.23155,,3.413778803,11170.38592,,,5.68300033,13279.25689
9.14714382,11613.34512,,3.516066709,11054.83134,,,5.901144366,13577.77287
9.409667249,11594.08602,,3.687445961,11083.71999,,,5.992796905,13654.80925
9.879151881,11931.12019,,3.835794765,11064.46089,,,6.130041084,13712.58654
10.17573217,11863.71336,,3.927603723,11180.01547,,,6.233189295,13808.88202
10.43872486,11960.00884,,4.064495959,11151.12682,,,6.405037804,13953.32523
10.84983172,11979.26793,,4.144496406,11170.38592,,,6.712840036,13837.77066
