Minimum,,Maximum,
X,Y,X,Y
00:00,118.57707509881402,00:00,723.3201581027665
01:00,77.07509881422902,01:00,735.177865612648
02:00,71.14624505928805,02:00,616.6007905138335
03:00,71.14624505928805,03:01,675.8893280632406
05:00,71.14624505928805,04:01,687.747035573122
06:00,94.86166007905103,05:00,711.462450592885
06:59,53.35968379446604,06:00,806.3241106719365
08:00,112.64822134387305,07:01,729.249011857707
09:00,225.2964426877461,08:00,1001.97628458498
10:00,195.65217391304304,09:00,1387.351778656126
11:00,47.43083003952506,10:00,1612.6482213438735
12:00,47.43083003952506,11:00,1837.94466403162
13:00,65.21739130434707,12:00,2252.9644268774705
14:00,112.64822134387305,13:00,2264.822134387352
14:59,195.65217391304304,14:00,2193.675889328063
16:00,154.15019762845805,15:01,2413.04347826087
17:00,177.86561264822103,16:00,2466.403162055336
18:00,343.873517786561,17:00,2478.2608695652175
18:59,249.01185770750908,18:00,2288.5375494071145
20:00,320.15810276679804,19:00,1885.375494071146
20:58,231.22529644268707,20:00,1600.790513833992
22:00,130.43478260869506,21:00,1387.3517786561265
22:59,213.43873517786506,21:59,1494.071146245059
23:59,237.15415019762804,22:59,1422.9249011857705
,,00:00,1090.909090909091
