Series 1: HYD,,,Series 2: THL,,,Series 3: DRAWL,,,Series 4: DEMAND,
0.054018909,414.4409874,,0.083121628,4316.641135,,0.075941097,7873.465336,,0.062924798,9444.669629
0.177864046,552.7486782,,0.206510052,4299.552485,,0.304779303,7735.665103,,0.221581556,9427.631725
0.266085627,570.1418028,,0.312315055,4299.704723,,0.392747156,7666.726927,,0.309752392,9427.75859
0.37189063,570.2940402,,0.418120058,4299.85696,,0.516034088,7615.105757,,0.397821736,9393.352934
0.460061466,570.4209047,,0.541559228,4300.034571,,0.621686854,7563.459215,,0.48589108,9358.947278
0.548232302,570.5477692,,0.647364231,4300.186808,,0.727390365,7529.078932,,0.574112662,9376.340403
0.636403137,570.6746338,,0.753169234,4300.339045,,0.833144622,7511.964909,,0.662232752,9359.201007
0.724573973,570.8014983,,0.858974237,4300.491283,,0.938797388,7460.318366,,0.767987009,9342.086985
0.812744809,570.9283628,,0.96477924,4300.64352,,1.080225946,7581.38517,,0.873741266,9324.972962
0.900864899,553.7889672,,1.070533497,4283.529498,,1.168549019,7633.310815,,0.997078945,9290.618052
0.989035735,553.9158317,,1.158755079,4300.922622,,1.291785206,7564.423385,,1.10273171,9238.971509
1.146982052,295.1502869,,1.282194249,4301.100232,,1.37985455,7530.017729,,1.208435221,9204.591227
1.235152888,295.2771514,,1.387948506,4283.98621,,1.538511308,7512.979825,,1.314138733,9170.210944
1.323323723,295.4040159,,1.493753509,4284.138447,,1.644265565,7495.865803,,1.437476411,9135.856034
1.411494559,295.5308804,,1.599558511,4284.290685,,1.749969077,7461.48552,,1.543129177,9084.209491
1.499665395,295.6577449,,1.722997682,4284.468295,,1.855672588,7427.105237,,1.666517601,9067.120842
1.605470398,295.8099823,,1.828802684,4284.620532,,1.961629828,7479.056255,,1.754637691,9049.981446
1.693641234,295.9368468,,2.022727777,4267.633374,,2.049749918,7461.916859,,1.842757781,9032.842051
1.781812069,296.0637114,,2.12853278,4267.785612,,2.155504175,7444.802837,,1.948562784,9032.994288
1.869982905,296.1905759,,2.269555372,4250.722335,,2.243877994,7513.994741,,2.036733619,9033.121152
1.958102995,279.0511803,,2.428262876,4250.950691,,2.332201068,7565.920386,,2.142487877,9016.00713
2.063958744,296.4696778,,2.569386959,4268.419934,,2.42016892,7496.98221,,2.248445117,9067.958147
2.169763747,296.6219152,,2.728094463,4268.64829,,2.578673441,7428.145526,,2.354300866,9085.376645
2.257934582,296.7487797,,2.992556225,4251.762624,,2.684478444,7428.297764,,2.44237021,9050.970989
2.346105418,296.8756442,,3.186532063,4252.041726,,2.772598534,7411.158368,,2.530439554,9016.565334
2.451859675,279.7616216,,3.292337066,4252.193963,,2.860667878,7376.752713,,2.61861039,9016.692198
2.540081257,297.1547462,,3.398142069,4252.346201,,3.018969416,7238.850988,,2.70673048,8999.552803
2.628252092,297.2816107,,3.503947072,4252.498438,,3.159789024,7152.722671,,2.830118904,8982.464153
2.716422928,297.4084752,,3.627386242,4252.676048,,3.248061352,7187.382056,,2.918188248,8948.058497
2.804593764,297.5353397,,3.750774666,4235.587399,,3.353866355,7187.534293,,3.059109348,8896.4627
2.892967583,366.7272445,,3.874213836,4235.765009,,3.442138682,7222.193678,,3.147127946,8844.790785
2.981138419,366.854109,,4.032921341,4235.993365,,3.548095922,7274.144695,,3.235248036,8827.651389
3.069309254,366.9809735,,4.13877709,4253.411862,,3.636317504,7291.53782,,3.323418872,8827.778254
3.17496202,315.3344307,,4.244582092,4253.5641,,3.72448834,7291.664684,,3.42927462,8845.196751
3.26308211,298.1950352,,4.368021262,4253.74171,,3.918464178,7291.943786,,3.517597694,8897.122396
3.351252946,298.3218997,,4.473877011,4271.160208,,4.006736506,7326.603171,,3.605717784,8879.983
3.439423781,298.4487642,,4.579682014,4271.312445,,4.112440017,7292.222888,,3.729258445,8914.693131
3.527594617,298.5756287,,4.703121184,4271.490055,,4.200610853,7292.349753,,3.817378535,8897.553735
3.615765453,298.7024932,,4.808875441,4254.376033,,4.306415856,7292.50199,,3.905498625,8880.414339
3.721621202,316.1209907,,4.949948778,4254.579016,,4.412576079,7413.518048,,3.993770952,8915.073724
3.862694539,316.3239739,,5.07348944,4289.289146,,4.500797661,7430.911173,,4.081941788,8915.200589
3.986133709,316.5015842,,5.179294443,4289.441384,,4.588968496,7431.038037,,4.205330212,8898.111939
4.074304545,316.6284487,,5.285150192,4306.859881,,4.677139332,7431.164902,,4.293501048,8898.238803
4.180109548,316.7806861,,5.373321027,4306.986746,,4.765513151,7500.356806,,4.399509034,8967.456081
4.28591455,316.9329236,,5.496810943,4324.430616,,4.889053813,7535.066937,,4.487781362,9002.115466
4.40935372,317.1105339,,5.620300859,4341.874487,,4.994909561,7552.485434,,4.593586365,9002.267703
4.515158723,317.2627713,,5.726055116,4324.760464,,5.083181889,7587.144819,,4.699442113,9019.686201
4.620963726,317.4150087,,5.831910865,4342.178961,,5.171504962,7639.070464,,4.787714441,9054.345585
4.726768729,317.5672461,,5.920081701,4342.305826,,5.295299353,7760.111894,,4.893519444,9054.497823
4.850207899,317.7448564,,6.025835958,4325.191803,,5.383622426,7812.037539,,5.017060105,9089.207953
