Maximum,,Minimum,
X,Y,X,Y
00:00,269.0391459074731,00:00,1351.6014234875438
01:00,96.35274158445782,01:00,1191.7264070648848
02:00,160.6770134180265,02:00,1332.9190063005883
03:00,135.32156994910338,03:00,1320.3749507320215
04:00,90.74904462964696,04:00,1154.0942403591844
05:00,142.26192856286025,05:00,1058.2761634383046
06:00,91.28370929322546,06:00,1161.0345989729408
07:00,97.9567355751924,07:00,994.7538886001034
08:00,27.7614344550243,08:00,1027.0496906827823
08:59,66.45778948150064,09:00,1546.1782329789842
09:58,53.90859290655317,09:59,1501.600566653147
10:58,66.98731313869803,10:58,1674.81649463336
12:01,80.0763153836042,12:00,1655.8718861209957
13:00,61.12142485847971,13:00,1640.12498357734
14:00,80.60583904080204,13:58,1195.1914453653822
14:59,106.49080616692254,14:59,1406.846678053043
15:59,132.38091429942324,15:59,1375.0855406339426
16:59,183.89379823263607,16:59,1343.3244032148418
17:59,235.40668216584845,17:59,1228.2892444434285
18:59,280.5138721488829,18:59,1126.0654735723706
19:59,152.66732547711354,19:59,1280.0694607084301
20:59,204.18020941032637,20:59,1248.3083232893293
21:59,114.76782643962406,21:57,1235.7539857080014
22:57,121.43057070883015,22:57,1005.4163358333851
23:58,96.08026824628769,23:59,711.03202846975
